"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_UPDATE","","2026-04-27","passed","2026-04-27","","","",""
"","2","testUpdate","","2026-04-27","passed","2026-04-27","","com.example.hw_6.TaskViewModelTest","com.example.hw_6.TaskViewModelTest","testUpdate"
"","8","testDelete","","2026-04-27","passed","2026-04-27","","com.example.hw_6.ApiServerTest","com.example.hw_6.ApiServerTest","testDelete"
"","20","testCreate","","2026-04-27","passed","2026-04-27","","com.example.hw_6.TaskViewModelTest","com.example.hw_6.TaskViewModelTest","testCreate"
"","1378","testDeleteOperation","","2026-04-27","passed","2026-04-27","","com.example.hw_6.TaskViewModelTest","com.example.hw_6.TaskViewModelTest","testDeleteOperation"
"","0","test_DELETE","","2026-04-27","passed","2026-04-27","","","",""
"","0","test_READ","","2026-04-27","passed","2026-04-27","","","",""
"","7","testRead","","2026-04-27","passed","2026-04-27","","com.example.hw_6.TaskViewModelTest","com.example.hw_6.TaskViewModelTest","testRead"
"","0","API_GET_TASKS","","2026-04-27","passed","2026-04-27","","","",""
"","0","test_CREATE","","2026-04-27","passed","2026-04-27","","","",""
"","1","addition_isCorrect","","2026-04-27","passed","2026-04-27","","com.example.hw_6.ExampleUnitTest","com.example.hw_6.ExampleUnitTest","addition_isCorrect"
"","0","API_POST_TASK","","2026-04-27","passed","2026-04-27","","","",""
"","596","testGet","","2026-04-27","passed","2026-04-27","","com.example.hw_6.ApiServerTest","com.example.hw_6.ApiServerTest","testGet"
"","0","API_DELETE_TASK","","2026-04-27","passed","2026-04-27","","","",""
"","9","testPost","","2026-04-27","passed","2026-04-27","","com.example.hw_6.ApiServerTest","com.example.hw_6.ApiServerTest","testPost"
